repo_index,repo_name,repo_url,category,metric,value
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,token_count,11
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,security_keyword_hits,0
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,has_ai_signal,0
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,has_web_signal,1
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,has_mobile_signal,0
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,has_osint_signal,0
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,has_automation_signal,0
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,description_length,73
7,pegasus-admin,https://github.com/sobri3195/pegasus-admin,Web Application Security,inferred_language,Unknown
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,token_count,18
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,security_keyword_hits,0
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,has_ai_signal,0
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,has_web_signal,1
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,has_mobile_signal,0
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,has_osint_signal,0
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,has_automation_signal,0
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,description_length,136
8,pegasus-toko,https://github.com/sobri3195/pegasus-toko,Web Application Security,inferred_language,PHP
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,token_count,15
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,security_keyword_hits,0
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,has_ai_signal,0
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,has_web_signal,1
